,,
C.E.L.T - The Sentiment Analyser - https://github.com/amit-99/SE_Project2 ,,
,,
Cumulative sum of all scores,90,
,,
Notes,Rating,Evidence
Video,3,Link in the readme section
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,https://github.com/amit-99/SE_Project2/graphs/contributors
"but nevertheless, here is a track record that everyone is contributing a lot)",3,evidence visible in GH contrbutors insights - https://github.com/amit-99/SE_Project2/graphs/contributors 
Number of commits,3,in GH - https://github.com/amit-99/SE_Project2/graphs/commit-activity 
Number of commits: by different people,3,in GH - https://github.com/amit-99/SE_Project2/graphs/contributors 
Issues reports: there are many,3,in GH - https://github.com/amit-99/SE_Project2/issues 
Issues are being closed,3,"15 closed, 0 Open - also visible in Projects Tab - https://github.com/users/amit-99/projects/2 "
DOI badge: exists,3,Visible in readme
"Docs: doco generated, format not ugly",3,in GH
Docs: what: point descriptions of each class/function (in isolation),3,Explained in readMe - https://github.com/amit-99/SE_Project2/tree/develop#what-can-celt-do 
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,doc with gifs and working examples - https://github.com/amit-99/SE_Project2/tree/develop#usage
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,Readme is very free flowing covering all info for a new reader
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,"Readme contains concise documentation and info, GIFs, video and even a meme to highlight the project and draw people's attention to try their hands-on this project."
Use of version control tools,3,Github + version control with tags and multiple branches and releases
Use of style checkers,3,pylint config used
Use of code formatters.,3,pylint config used
Use of syntax checkers.,3,pylint config used
Use of code coverage,3,Codecov used and badge present
Other automated analysis tools,3,present in github workflows - https://github.com/amit-99/SE_Project2/tree/develop/.github/workflows
Test cases exist,3,in tests folder - https://github.com/amit-99/SE_Project2/tree/develop/test 
Test cases are routinely executed,3,"Yes with every activity in repository, tests are checked"
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,present - https://github.com/amit-99/SE_Project2/blob/develop/CONTRIBUTING.md 
Issues are discussed before they are closed,3,closed issue have comments
Chat channel: exists,3,Discord channel - open to join - mentioned in readme - https://github.com/amit-99/SE_Project2/blob/develop/README.md#connect-with-us 
Test cases: a large proportion of the issues related to handling failing cases.,3,2-3 issues/pull requests visible to handle failing builds and tests
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,Project properly executed by all team-members on their respective systems as part of development and testing. Team contribution in these activities is reflected through commits and merge requests related to the same. 
